START_DT,END_DT,DAYS,STUDIO,START_TIME,DURATION,NAME,CLASS_SECTION,CLASS_NBR
09/02/2014,12/12/2014,FRIDAY,2,09:00:00,2:50,NURS0129,01,84339
09/02/2014,12/12/2014,MONDAY,1,11:00:00,3:0,CHDV0137,02,83798
09/02/2014,12/12/2014,MONDAY,1,14:10:00,1:15,CHDV137L,02,83801
09/02/2014,12/12/2014,MONDAY,1,19:00:00,2:50,EDUC0120,01,83852
09/02/2014,12/12/2014,MONDAY,2,12:00:00,1:15,ANTH0001,02,86371
09/02/2014,12/12/2014,MONDAY,2,13:30:00,1:15,ANTH0013,01,86079
09/02/2014,12/12/2014,MONDAY,2,17:30:00,2:50,GERO0100,01,85735
09/02/2014,12/12/2014,MONDAY,3,09:00:00,1:15,MGMT0010,06,87041
09/02/2014,12/12/2014,MONDAY,3,11:30:00,1:15,ASTR0196,01,85622
09/02/2014,12/12/2014,MONDAY,3,13:30:00,1:15,PHIL0104,01,80645
09/02/2014,12/12/2014,MONDAY,3,16:30:00,0:50,BIO0125,01,85269
09/02/2014,12/12/2014,MONDAY,3,18:00:00,2:50,PPA220A,01,85819
09/02/2014,12/12/2014,THURSDAY,1,09:00:00,1:15,MGMT0102,03,83069
09/02/2014,12/12/2014,THURSDAY,1,10:30:00,1:15,CRJ0121,03,84477
09/02/2014,12/12/2014,THURSDAY,1,12:00:00,1:15,CHDV0123,04,83784
09/02/2014,12/12/2014,THURSDAY,1,19:30:00,1:15,MGMT0102,07,83142
09/02/2014,12/12/2014,THURSDAY,2,09:00:00,1:15,GOVT0001,12,86244
09/02/2014,12/12/2014,THURSDAY,2,12:00:00,1:15,CHDV0136,01,83795
09/02/2014,12/12/2014,THURSDAY,2,13:30:00,1:15,GEOG0002,01,85323
09/02/2014,12/12/2014,THURSDAY,2,16:30:00,1:50,NURS0014,01,84331
09/02/2014,12/12/2014,THURSDAY,3,09:00:00,1:15,CPE0064,01,83355
09/02/2014,12/12/2014,THURSDAY,3,09:00:00,1:15,EEE0064,01,83356
09/02/2014,12/12/2014,THURSDAY,3,10:30:00,1:15,CPE0185,01,83293
09/02/2014,12/12/2014,THURSDAY,3,10:30:00,1:15,EEE0174,01,83317
09/02/2014,12/12/2014,THURSDAY,3,12:00:00,1:15,GEOL0008,02,85042
09/02/2014,12/12/2014,THURSDAY,3,13:30:00,1:15,BIO0010,02,85337
09/02/2014,12/12/2014,TUESDAY,1,09:00:00,1:15,MGMT0102,03,83069
09/02/2014,12/12/2014,TUESDAY,1,10:30:00,1:15,CRJ0121,03,84477
09/02/2014,12/12/2014,TUESDAY,1,12:00:00,1:15,CHDV0123,04,83784
09/02/2014,12/12/2014,TUESDAY,1,16:00:00,1:50,EDS230A,01,83667
09/02/2014,12/12/2014,TUESDAY,1,19:30:00,1:15,MGMT0102,07,83142
09/02/2014,12/12/2014,TUESDAY,2,09:00:00,1:15,GOVT0001,12,86244
09/02/2014,12/12/2014,TUESDAY,2,12:00:00,1:15,CHDV0136,01,83795
09/02/2014,12/12/2014,TUESDAY,2,13:30:00,1:15,GEOG0002,01,85323
09/02/2014,12/12/2014,TUESDAY,3,09:00:00,1:15,CPE0064,01,83355
09/02/2014,12/12/2014,TUESDAY,3,09:00:00,1:15,EEE0064,01,83356
09/02/2014,12/12/2014,TUESDAY,3,10:30:00,1:15,CPE0185,01,83293
09/02/2014,12/12/2014,TUESDAY,3,10:30:00,1:15,EEE0174,01,83317
09/02/2014,12/12/2014,TUESDAY,3,12:00:00,1:15,GEOL0008,02,85042
09/02/2014,12/12/2014,TUESDAY,3,13:30:00,1:15,BIO0010,02,85337
09/02/2014,12/12/2014,TUESDAY,3,16:00:00,2:50,EDUC0170,06,86599
09/02/2014,12/12/2014,WEDNESDAY,1,13:00:00,0:50,DEAF0052,07,83971
09/02/2014,12/12/2014,WEDNESDAY,1,14:30:00,0:50,DEAF0053,01,83976
09/02/2014,12/12/2014,WEDNESDAY,2,12:00:00,1:15,ANTH0001,02,86371
09/02/2014,12/12/2014,WEDNESDAY,2,13:30:00,1:15,ANTH0013,01,86079
09/02/2014,12/12/2014,WEDNESDAY,3,09:00:00,1:15,MGMT0010,06,87041
09/02/2014,12/12/2014,WEDNESDAY,3,11:30:00,1:15,ASTR0196,01,85622
09/02/2014,12/12/2014,WEDNESDAY,3,13:30:00,1:15,PHIL0104,01,80645
09/02/2014,12/12/2014,WEDNESDAY,3,16:00:00,1:50,EDUC130A,01,87118
09/03/2014,11/05/2014,WEDNESDAY,1,16:00:00,2:50,EDUC100A,03,86588
09/08/2014,11/10/2014,MONDAY,1,16:00:00,2:50,EDUC100A,01,86586
