START_DT,END_DT,DAYS,STUDIO,START_TIME,DURATION,NAME,CLASS_SECTION,CLASS_NBR
09/03/2013,12/13/2013,FRIDAY,2,09:00:00,2:50,NURS0129,01,86609
09/03/2013,12/13/2013,FRIDAY,3,09:00:00,2:50,GERO0100,01,87891
09/03/2013,12/13/2013,MONDAY,1,10:00:00,1:15,PHIL0026,03,88643
09/03/2013,12/13/2013,MONDAY,1,11:30:00,1:15,PHIL0103,02,84449
09/03/2013,12/13/2013,MONDAY,1,13:00:00,0:50,DEAF0052,07,89592
09/03/2013,12/13/2013,MONDAY,1,14:30:00,0:50,DEAF0053,01,89602
09/03/2013,12/13/2013,MONDAY,1,19:00:00,2:50,EDUC0120,01,89337
09/03/2013,12/13/2013,MONDAY,2,09:00:00,1:15,HROB0101,01,85959
09/03/2013,12/13/2013,MONDAY,2,10:30:00,1:15,CHDV0123,01,89202
09/03/2013,12/13/2013,MONDAY,2,12:00:00,1:15,ANTH0001,02,90079
09/03/2013,12/13/2013,MONDAY,2,13:30:00,1:15,ANTH0013,01,88294
09/03/2013,12/13/2013,MONDAY,3,09:00:00,1:15,MGMT0101,01,85963
09/03/2013,12/13/2013,MONDAY,3,12:00:00,1:15,HROB0151,01,85960
09/03/2013,12/13/2013,MONDAY,3,13:30:00,1:15,PHIL0104,02,85249
09/03/2013,12/13/2013,MONDAY,3,16:30:00,0:50,BIO0125,01,87522
09/03/2013,12/13/2013,MONDAY,3,18:00:00,2:50,PPA220A,01,87981
09/03/2013,12/13/2013,THURSDAY,1,09:00:00,1:15,MGMT0102,04,86076
09/03/2013,12/13/2013,THURSDAY,1,10:30:00,1:15,CRJ0121,03,86767
09/03/2013,12/13/2013,THURSDAY,1,12:00:00,1:15,PHIL0006,05,85161
09/03/2013,12/13/2013,THURSDAY,1,19:30:00,1:15,MGMT0102,10,89623
09/03/2013,12/13/2013,THURSDAY,2,09:00:00,1:15,GOVT0001,11,87919
09/03/2013,12/13/2013,THURSDAY,2,12:00:00,1:15,MATH0001,14,87254
09/03/2013,12/13/2013,THURSDAY,2,16:30:00,1:50,NURS0014,01,86593
09/03/2013,12/13/2013,THURSDAY,3,09:00:00,1:15,CPE0064,01,86282
09/03/2013,12/13/2013,THURSDAY,3,09:00:00,1:15,EEE0064,01,86283
09/03/2013,12/13/2013,THURSDAY,3,10:30:00,1:15,CPE0185,01,86218
09/03/2013,12/13/2013,THURSDAY,3,10:30:00,1:15,EEE0174,01,86243
09/03/2013,12/13/2013,THURSDAY,3,12:00:00,1:15,GEOL0008,02,87271
09/03/2013,12/13/2013,THURSDAY,3,13:30:00,1:15,BIO0010,02,87596
09/03/2013,12/13/2013,TUESDAY,1,09:00:00,1:15,MGMT0102,04,86076
09/03/2013,12/13/2013,TUESDAY,1,10:30:00,1:15,CRJ0121,03,86767
09/03/2013,12/13/2013,TUESDAY,1,12:00:00,1:15,PHIL0006,05,85161
09/03/2013,12/13/2013,TUESDAY,1,16:00:00,1:50,EDS230A,01,89049
09/03/2013,12/13/2013,TUESDAY,1,19:30:00,1:15,MGMT0102,10,89623
09/03/2013,12/13/2013,TUESDAY,2,09:00:00,1:15,GOVT0001,11,87919
09/03/2013,12/13/2013,TUESDAY,2,12:00:00,1:15,MATH0001,14,87254
09/03/2013,12/13/2013,TUESDAY,2,16:30:00,2:50,CHDV0139,01,89560
09/03/2013,12/13/2013,TUESDAY,3,09:00:00,1:15,CPE0064,01,86282
09/03/2013,12/13/2013,TUESDAY,3,09:00:00,1:15,EEE0064,01,86283
09/03/2013,12/13/2013,TUESDAY,3,10:30:00,1:15,CPE0185,01,86218
09/03/2013,12/13/2013,TUESDAY,3,10:30:00,1:15,EEE0174,01,86243
09/03/2013,12/13/2013,TUESDAY,3,12:00:00,1:15,GEOL0008,02,87271
09/03/2013,12/13/2013,TUESDAY,3,13:30:00,1:15,BIO0010,02,87596
09/03/2013,12/13/2013,WEDNESDAY,1,10:00:00,1:15,PHIL0026,03,88643
09/03/2013,12/13/2013,WEDNESDAY,1,11:30:00,1:15,PHIL0103,02,84449
09/03/2013,12/13/2013,WEDNESDAY,2,09:00:00,1:15,HROB0101,01,85959
09/03/2013,12/13/2013,WEDNESDAY,2,10:30:00,1:15,CHDV0123,01,89202
09/03/2013,12/13/2013,WEDNESDAY,2,12:00:00,1:15,ANTH0001,02,90079
09/03/2013,12/13/2013,WEDNESDAY,2,13:30:00,1:15,ANTH0013,01,88294
09/03/2013,12/13/2013,WEDNESDAY,3,09:00:00,1:15,MGMT0101,01,85963
09/03/2013,12/13/2013,WEDNESDAY,3,12:00:00,1:15,HROB0151,01,85960
09/03/2013,12/13/2013,WEDNESDAY,3,13:30:00,1:15,PHIL0104,02,85249
09/03/2013,12/13/2013,WEDNESDAY,3,16:00:00,1:50,EDS130A,01,89065
09/04/2013,09/04/2013,WEDNESDAY,2,17:00:00,1:0,HLSC0130,04,90574
09/04/2013,11/06/2013,WEDNESDAY,1,16:00:00,2:50,EDS100A,03,89177
09/09/2013,11/06/2013,MONDAY,1,16:00:00,2:50,EDS100A,01,89175
