START_DT,DAYS,STUDIO,COURSE_ID,CLASS_NBR
03-SEP-2013,TUESDAY,1,111101,86767
03-SEP-2013,TUESDAY,1,118836,89049
03-SEP-2013,TUESDAY,1,154706,86076
03-SEP-2013,TUESDAY,1,154706,89623
03-SEP-2013,TUESDAY,1,157451,85161
03-SEP-2013,TUESDAY,2,108291,89560
03-SEP-2013,TUESDAY,2,136221,87919
03-SEP-2013,TUESDAY,2,147042,87254
03-SEP-2013,TUESDAY,3,110571,86282
03-SEP-2013,TUESDAY,3,110651,86218
03-SEP-2013,TUESDAY,3,126776,86283
03-SEP-2013,TUESDAY,3,127061,86243
03-SEP-2013,TUESDAY,3,134956,87271
03-SEP-2013,TUESDAY,3,201138,87596
04-SEP-2013,WEDNESDAY,1,118741,89177
04-SEP-2013,WEDNESDAY,1,157466,88643
04-SEP-2013,WEDNESDAY,1,157551,84449
04-SEP-2013,WEDNESDAY,2,100796,90079
04-SEP-2013,WEDNESDAY,2,100861,88294
04-SEP-2013,WEDNESDAY,2,154741,85959
04-SEP-2013,WEDNESDAY,2,190776,90574
04-SEP-2013,WEDNESDAY,2,201066,89202
04-SEP-2013,WEDNESDAY,3,118881,89065
04-SEP-2013,WEDNESDAY,3,154686,85963
04-SEP-2013,WEDNESDAY,3,154756,85960
04-SEP-2013,WEDNESDAY,3,157556,85249
05-SEP-2013,THURSDAY,1,111101,86767
05-SEP-2013,THURSDAY,1,154706,86076
05-SEP-2013,THURSDAY,1,154706,89623
05-SEP-2013,THURSDAY,1,157451,85161
05-SEP-2013,THURSDAY,2,136221,87919
05-SEP-2013,THURSDAY,2,147042,87254
05-SEP-2013,THURSDAY,2,153816,86593
05-SEP-2013,THURSDAY,3,110571,86282
05-SEP-2013,THURSDAY,3,110651,86218
05-SEP-2013,THURSDAY,3,126776,86283
05-SEP-2013,THURSDAY,3,127061,86243
05-SEP-2013,THURSDAY,3,134956,87271
05-SEP-2013,THURSDAY,3,201138,87596
06-SEP-2013,FRIDAY,2,154016,86609
06-SEP-2013,FRIDAY,3,136041,87891
09-SEP-2013,MONDAY,1,118741,89175
09-SEP-2013,MONDAY,1,118926,89592
09-SEP-2013,MONDAY,1,118931,89602
09-SEP-2013,MONDAY,1,121546,89337
09-SEP-2013,MONDAY,1,157466,88643
09-SEP-2013,MONDAY,1,157551,84449
09-SEP-2013,MONDAY,2,100796,90079
09-SEP-2013,MONDAY,2,100861,88294
09-SEP-2013,MONDAY,2,154741,85959
09-SEP-2013,MONDAY,2,201066,89202
09-SEP-2013,MONDAY,3,105911,87522
09-SEP-2013,MONDAY,3,154686,85963
09-SEP-2013,MONDAY,3,154756,85960
09-SEP-2013,MONDAY,3,157556,85249
09-SEP-2013,MONDAY,3,158706,87981
10-SEP-2013,TUESDAY,1,111101,86767
10-SEP-2013,TUESDAY,1,118836,89049
10-SEP-2013,TUESDAY,1,154706,86076
10-SEP-2013,TUESDAY,1,154706,89623
10-SEP-2013,TUESDAY,1,157451,85161
10-SEP-2013,TUESDAY,2,108291,89560
10-SEP-2013,TUESDAY,2,136221,87919
10-SEP-2013,TUESDAY,2,147042,87254
10-SEP-2013,TUESDAY,3,110571,86282
10-SEP-2013,TUESDAY,3,110651,86218
10-SEP-2013,TUESDAY,3,126776,86283
10-SEP-2013,TUESDAY,3,127061,86243
10-SEP-2013,TUESDAY,3,134956,87271
10-SEP-2013,TUESDAY,3,201138,87596
11-SEP-2013,WEDNESDAY,1,118741,89177
11-SEP-2013,WEDNESDAY,1,157466,88643
11-SEP-2013,WEDNESDAY,1,157551,84449
11-SEP-2013,WEDNESDAY,2,100796,90079
11-SEP-2013,WEDNESDAY,2,100861,88294
11-SEP-2013,WEDNESDAY,2,154741,85959
11-SEP-2013,WEDNESDAY,2,190776,90574
11-SEP-2013,WEDNESDAY,2,201066,89202
11-SEP-2013,WEDNESDAY,3,118881,89065
11-SEP-2013,WEDNESDAY,3,154686,85963
11-SEP-2013,WEDNESDAY,3,154756,85960
11-SEP-2013,WEDNESDAY,3,157556,85249
12-SEP-2013,THURSDAY,1,111101,86767
12-SEP-2013,THURSDAY,1,154706,86076
12-SEP-2013,THURSDAY,1,154706,89623
12-SEP-2013,THURSDAY,1,157451,85161
12-SEP-2013,THURSDAY,2,136221,87919
12-SEP-2013,THURSDAY,2,147042,87254
12-SEP-2013,THURSDAY,2,153816,86593
12-SEP-2013,THURSDAY,3,110571,86282
12-SEP-2013,THURSDAY,3,110651,86218
