START_DT,DAYS,STUDIO,COURSE_ID,CLASS_NBR
27-JAN-2014,MONDAY,1,110856,32044
27-JAN-2014,MONDAY,1,118741,34255
27-JAN-2014,MONDAY,1,121546,34372
27-JAN-2014,MONDAY,1,157451,31035
27-JAN-2014,MONDAY,2,100796,33567
27-JAN-2014,MONDAY,2,100861,33577
27-JAN-2014,MONDAY,3,105906,32664
27-JAN-2014,MONDAY,3,105906,32665
27-JAN-2014,MONDAY,3,157466,31097
27-JAN-2014,MONDAY,3,157551,30113
27-JAN-2014,MONDAY,3,201503,33150
27-JAN-2014,MONDAY,3,202018,33781
28-JAN-2014,TUESDAY,1,111101,32064
28-JAN-2014,TUESDAY,1,118836,34144
28-JAN-2014,TUESDAY,1,154706,31457
28-JAN-2014,TUESDAY,1,154706,33784
28-JAN-2014,TUESDAY,1,157556,30955
28-JAN-2014,TUESDAY,1,201245,34231
28-JAN-2014,TUESDAY,2,108241,34214
28-JAN-2014,TUESDAY,2,136221,34044
28-JAN-2014,TUESDAY,2,147042,32815
28-JAN-2014,TUESDAY,2,165546,32952
28-JAN-2014,TUESDAY,3,108226,34209
28-JAN-2014,TUESDAY,3,110571,31751
28-JAN-2014,TUESDAY,3,110651,31871
28-JAN-2014,TUESDAY,3,126776,31821
28-JAN-2014,TUESDAY,3,127061,31720
28-JAN-2014,TUESDAY,3,134956,32635
29-JAN-2014,WEDNESDAY,1,110856,32044
29-JAN-2014,WEDNESDAY,1,118741,34257
29-JAN-2014,WEDNESDAY,1,118936,34547
29-JAN-2014,WEDNESDAY,1,157451,31035
29-JAN-2014,WEDNESDAY,1,201006,34554
29-JAN-2014,WEDNESDAY,2,100796,33567
29-JAN-2014,WEDNESDAY,2,100861,33577
29-JAN-2014,WEDNESDAY,2,119116,34156
29-JAN-2014,WEDNESDAY,3,105906,32664
29-JAN-2014,WEDNESDAY,3,105906,32665
29-JAN-2014,WEDNESDAY,3,157466,31097
29-JAN-2014,WEDNESDAY,3,157551,30113
29-JAN-2014,WEDNESDAY,3,201503,33150
29-JAN-2014,WEDNESDAY,3,202018,33781
30-JAN-2014,THURSDAY,1,111101,32064
30-JAN-2014,THURSDAY,1,154706,31457
30-JAN-2014,THURSDAY,1,154706,33784
30-JAN-2014,THURSDAY,1,157556,30955
30-JAN-2014,THURSDAY,1,201245,34231
30-JAN-2014,THURSDAY,1,201246,34245
30-JAN-2014,THURSDAY,2,136221,34044
30-JAN-2014,THURSDAY,2,147042,32815
30-JAN-2014,THURSDAY,2,153816,32234
30-JAN-2014,THURSDAY,2,165546,32952
30-JAN-2014,THURSDAY,3,108226,34209
30-JAN-2014,THURSDAY,3,110571,31751
30-JAN-2014,THURSDAY,3,110651,31871
30-JAN-2014,THURSDAY,3,126776,31821
30-JAN-2014,THURSDAY,3,127061,31720
30-JAN-2014,THURSDAY,3,134956,32635
31-JAN-2014,FRIDAY,2,154016,32244
03-FEB-2014,MONDAY,1,110856,32044
03-FEB-2014,MONDAY,1,118741,34255
03-FEB-2014,MONDAY,1,121546,34372
03-FEB-2014,MONDAY,1,157451,31035
03-FEB-2014,MONDAY,2,100796,33567
03-FEB-2014,MONDAY,2,100861,33577
03-FEB-2014,MONDAY,3,105906,32664
03-FEB-2014,MONDAY,3,105906,32665
03-FEB-2014,MONDAY,3,157466,31097
03-FEB-2014,MONDAY,3,157551,30113
03-FEB-2014,MONDAY,3,201503,33150
03-FEB-2014,MONDAY,3,202018,33781
04-FEB-2014,TUESDAY,1,111101,32064
04-FEB-2014,TUESDAY,1,118836,34144
04-FEB-2014,TUESDAY,1,154706,31457
04-FEB-2014,TUESDAY,1,154706,33784
04-FEB-2014,TUESDAY,1,157556,30955
04-FEB-2014,TUESDAY,1,201245,34231
04-FEB-2014,TUESDAY,2,108241,34214
04-FEB-2014,TUESDAY,2,136221,34044
04-FEB-2014,TUESDAY,2,147042,32815
04-FEB-2014,TUESDAY,2,165546,32952
04-FEB-2014,TUESDAY,3,108226,34209
04-FEB-2014,TUESDAY,3,110571,31751
04-FEB-2014,TUESDAY,3,110651,31871
04-FEB-2014,TUESDAY,3,126776,31821
04-FEB-2014,TUESDAY,3,127061,31720
04-FEB-2014,TUESDAY,3,134956,32635
05-FEB-2014,WEDNESDAY,1,110856,32044
05-FEB-2014,WEDNESDAY,1,118741,34257
05-FEB-2014,WEDNESDAY,1,118936,34547
05-FEB-2014,WEDNESDAY,1,157451,31035
05-FEB-2014,WEDNESDAY,1,201006,34554
05-FEB-2014,WEDNESDAY,2,100796,33567
05-FEB-2014,WEDNESDAY,2,100861,33577
05-FEB-2014,WEDNESDAY,2,119116,34156
05-FEB-2014,WEDNESDAY,3,105906,32664
05-FEB-2014,WEDNESDAY,3,105906,32665
05-FEB-2014,WEDNESDAY,3,157466,31097
05-FEB-2014,WEDNESDAY,3,157551,30113
05-FEB-2014,WEDNESDAY,3,201503,33150
05-FEB-2014,WEDNESDAY,3,202018,33781
06-FEB-2014,THURSDAY,1,111101,32064
06-FEB-2014,THURSDAY,1,154706,31457
06-FEB-2014,THURSDAY,1,154706,33784
06-FEB-2014,THURSDAY,1,157556,30955
06-FEB-2014,THURSDAY,1,201245,34231
06-FEB-2014,THURSDAY,1,201246,34245
06-FEB-2014,THURSDAY,2,136221,34044
